Customer ID,Feedback Channel,Rating,Date,Comment
C00103,Email,5,12/4/2024 0:00,Excellent service! Very satisfied with my purchase.
C00436,Survey,5,,Really happy with the quality and delivery time. Thanks for the survey follow-up.
C00349,Email,4,12/21/2024 0:00,Very professional and efficient service.
C00271,Social Media,5,12/17/2024 0:00,Really happy with the quality and delivery time.
C00107,Survey,1,11/18/2024 0:00,Poor communication from the team.
C00072,Email,5,2024/28/12,Outstanding customer support team. Response time could be faster.
TEST123,Social Media,3,11/11/2024 0:00,"Service was okay, nothing special. Quick response on social media."
C00021,Survey,5,2024/27/12,Really happy with the quality and delivery time. Thanks for the survey follow-up.
C00103,Survey,1,11/23/2024 0:00,Product didn't meet expectations.
C00122,XXX,4,12/18/2024 0:00,
C00467,Email,5,11/22/2024 0:00,The product exceeded my expectations. Will buy again!
C00215,Email,3,11/17/2024 0:00,Satisfactory purchase experience.
C00331,Social Media,2,11/5/2024 0:00,Disappointed with the service quality. Quick response on social media.
C00459,Email,1,12/14/2024 0:00,Need to improve product quality.
,Survey,3,11/11/2024 0:00,"Not bad, not great either."
C00373,Survey,4,11/30/2024 0:00,...
C00100,Email,2,11/15/2024 0:00,Would not recommend to others.
C00360,Email,3,11/27/2024 0:00,"Service was okay, nothing special."
C00152,Survey,1,12/5/2024 0:00,Need to improve product quality.
C00131,Social Media,5,12/3/2024 0:00,The product exceeded my expectations. Will buy again!
C00150,Email,2,11/20/2024 0:00,Need to improve product quality. Response time could be faster.
C00309,Email,6,,Decent experience overall. Response time could be faster.
C00258,Survey,1,12/4/2024 0:00,N/A
C00344,Email,4,,Best shopping experience I've had in a while!
C00492,Social Media,5,12/5/2024 0:00,The product exceeded my expectations. Will buy again!
C00414,Survey,3,12/10/2024 0:00,Decent experience overall.
C00294,Email,2,12/26/2024 0:00,Would not recommend to others. Response time could be faster.
C00386,Survey,5,11/28/2024 0:00,Very professional and efficient service.
C00192,Email,5,12/17/2024 0:00,Excellent service! Very satisfied with my purchase. Response time could be faster.
